"filename", "language", "JavaScript JSX", "XML", "Less", "JavaScript", "JSON", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\globalSlice.js", "JavaScript", 0, 0, 0, 36, 0, 0, 5, 41
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\menuSlice.js", "JavaScript", 0, 0, 0, 31, 0, 1, 5, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\tabsSlice.js", "JavaScript", 0, 0, 0, 20, 0, 1, 3, 24
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\mutation-types.js", "JavaScript", 0, 0, 0, 11, 0, 11, 1, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\constant.jsx", "JavaScript JSX", 2, 0, 0, 0, 0, 7, 1, 10
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\index.jsx", "JavaScript JSX", 3, 0, 0, 0, 0, 45, 0, 48
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\assembly.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 1, 1, 52
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\bucket.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 3, 1, 25
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\dashboard.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 1, 1, 25
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\echarts.jsx", "JavaScript JSX", 68, 0, 0, 0, 0, 1, 1, 70
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\error.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 1, 1, 34
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\form.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 1, 1, 43
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\home.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 4, 1, 24
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\link.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 1, 1, 52
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\modules\proTable.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 1, 1, 34
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\utils\authRouter.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 10, 1, 35
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\routers\utils\lazyLoad.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 5, 1, 19
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\styles\common.less", "Less", 0, 0, 82, 0, 0, 9, 9, 100
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\styles\reset.less", "Less", 0, 0, 130, 0, 0, 2, 2, 134
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\styles\theme\theme-dark.less", "Less", 0, 0, 99, 0, 0, 10, 7, 116
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\styles\theme\theme-default.less", "Less", 0, 0, 108, 0, 0, 6, 8, 122
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\styles\var.less", "Less", 0, 0, 1, 0, 0, 1, 1, 3
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\utils\echarts\index.js", "JavaScript", 0, 0, 0, 22, 0, 4, 1, 27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\utils\getEnv.js", "JavaScript", 0, 0, 0, 63, 0, 13, 1, 77
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\utils\is\index.js", "JavaScript", 0, 0, 0, 59, 0, 40, 1, 100
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\utils\util.js", "JavaScript", 0, 0, 0, 126, 0, 72, 1, 199
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\batchImport\index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 1, 8
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\batchImport\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\guide\index.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 1, 29
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\guide\steps.js", "JavaScript", 0, 0, 0, 59, 0, 0, 1, 60
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\selectIcon\index.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 1, 8
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\selectIcon\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\svgIcon\index.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 0, 1, 29
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\assembly\svgIcon\index.less", "Less", 0, 0, 19, 0, 0, 0, 1, 20
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketChildren\BucketList\BucketList.jsx", "JavaScript JSX", 33, 0, 0, 0, 0, 2, 6, 41
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListCard\BucketListCard.jsx", "JavaScript JSX", 75, 0, 0, 0, 0, 2, 4, 81
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListCard\CardComponents\BucketListCardActions.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 1, 3, 38
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\BucketListNav.jsx", "JavaScript JSX", 71, 0, 0, 0, 0, 4, 5, 80
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateBucketModal.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 2, 3, 33
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateBucketSteps.jsx", "JavaScript JSX", 92, 0, 0, 0, 0, 2, 10, 104
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep1.jsx", "JavaScript JSX", 96, 0, 0, 0, 0, 6, 7, 109
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\NavComponents\CreateBucket\CreateStep2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\bucketListNav\provider\CreateBucketProvider.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 1, 3, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\bucket\index.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 4, 6, 38
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\components\NestedCard\NestedCard.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 7, 4, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\components\NestedCard\NestedCard.less", "Less", 0, 0, 20, 0, 0, 0, 3, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\components\curve.jsx", "JavaScript JSX", 148, 0, 0, 0, 0, 1, 1, 150
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\components\pie.jsx", "JavaScript JSX", 118, 0, 0, 0, 0, 0, 1, 119
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\index.jsx", "JavaScript JSX", 92, 0, 0, 0, 0, 0, 1, 93
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\dashboard\dataVisualize\index.less", "Less", 0, 0, 163, 0, 0, 0, 1, 164
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\columnChart\index.jsx", "JavaScript JSX", 130, 0, 0, 0, 0, 0, 1, 131
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\columnChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\lineChart\index.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 1, 115
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\lineChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\nestedChart\index.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 1, 89
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\nestedChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\pieChart\index.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 1, 60
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\pieChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\radarChart\index.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 1, 1, 48
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\radarChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\waterChart\index.jsx", "JavaScript JSX", 294, 0, 0, 0, 0, 0, 1, 295
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\waterChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\basicForm\index.jsx", "JavaScript JSX", 63, 0, 0, 0, 0, 0, 1, 64
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\basicForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
